icao,name,lat,lon
VIDP,Indira Gandhi Intl,28.5665,77.1031
VABB,Chhatrapati Shivaji Intl,19.0887,72.8679
VOMM,Chennai Intl,12.9941,80.1709
VOBL,Kempegowda Intl,13.1986,77.7066
VECC,Netaji Subhas Chandra Bose Intl,22.6547,88.4467
VIDF,Delhi ACC,28.5665,77.1031
OMDB,Dubai Intl,25.2532,55.3657
OMAA,Abu Dhabi Intl,24.4330,54.6511
EGLL,London Heathrow,51.4700,-0.4543
EGKK,London Gatwick,51.1481,-0.1903
LFPG,Paris Charles de Gaulle,49.0097,2.5479
EDDF,Frankfurt Main,50.0379,8.5622
KJFK,New York JFK,40.6413,-73.7781
KLAX,Los Angeles Intl,33.9416,-118.4085
KORD,Chicago O'Hare,41.9742,-87.9073
RJTT,Tokyo Haneda,35.5494,139.7798
RJAA,Tokyo Narita,35.7720,140.3929
WSSS,Singapore Changi,1.3644,103.9915
YSSY,Sydney Kingsford Smith,-33.9399,151.1753
FACT,Cape Town Intl,-33.9715,18.6021
